Name,Continent,Team,Pos,Age,MP,Starts,Min,CrdY,CrdR,PrgC,PrgP,PrgG,G.A.PK_90
Mathias Jørgensen,Europe,BRE,DF,33,14,12,1087,4,0,5,50,4,0.08
Mads Roerslev,Europe,BRE,DF,24,34,22,1985,1,0,18,43,90,0.14
Mathias Jensen,Europe,BRE,MF,27,32,27,2204,5,0,19,123,66,0.25
Christian Nørgaard,Europe,BRE,MF,29,31,30,2505,8,0,15,161,42,0.11
Rico Henry,Europe,BRE,DF,26,5,5,401,1,0,13,20,12,0.22
Ben Mee,Europe,BRE,DF,33,16,15,1272,1,1,11,49,9,0.14
Keane Lewis-Potter,Europe,BRE,FW,22,30,15,1441,0,0,56,32,135,0.25
Ivan Toney,Europe,BRE,FW,27,17,16,1450,5,0,23,40,98,0.37
Sergio Reguilón,Europe,BRE,DF,26,16,14,1118,4,1,34,38,40,0.32
Neal Maupay,Europe,BRE,FW,26,29,13,1321,8,0,21,37,91,0.61
Kevin Schade,Europe,BRE,FWMF,21,11,3,333,0,0,8,9,23,0.81
Vitaly Janelt,Europe,BRE,MFDF,25,38,37,3054,8,0,25,123,81,0.12
Shandon Baptiste,North America,BRE,MF,25,10,2,229,1,0,3,5,1,0.79
Nathan Collins,Europe,BRE,DF,22,32,29,2652,3,0,11,97,18,0.07
Saman Ghoddos,Asia,BRE,DF,29,19,7,739,5,0,22,36,31,0.12
Ethan Pinnock,North America,BRE,DF,30,29,28,2521,1,0,11,61,16,0.07
Frank Onyeka,Africa,BRE,MF,25,26,11,1161,8,0,17,33,39,0.23
Kristoffer Ajer,Europe,BRE,DF,25,28,21,1832,5,0,22,61,31,0.15
Aaron Hickey,Europe,BRE,DF,21,9,9,713,5,0,9,21,13,0
Yehor Yarmoliuk,Europe,BRE,MF,19,27,6,688,2,0,13,35,36,0
Valentín Barco,South America,BHA,DFFW,19,6,3,307,1,0,8,14,20,0
Facundo Buonanotte,South America,BHA,FWMF,18,27,17,1364,7,0,23,42,69,0.26
Igor,South America,BHA,DF,25,24,17,1637,4,0,30,107,12,0
João Pedro,South America,BHA,FWMF,21,31,19,2045,2,0,83,92,205,0.35
Simon Adingra,Africa,BHA,FW,21,31,25,2222,3,0,111,50,278,0.28
Carlos Baleba,Africa,BHA,MF,19,27,15,1325,7,0,19,50,9,0
Pervis Estupiñán,South America,BHA,DF,25,19,15,1243,4,0,47,83,88,0.36
Odeluga Offiah,Europe,BHA,DF,20,4,1,128,0,0,9,4,9,0
Solly March,Europe,BHA,FW,29,7,7,554,1,0,14,24,44,0.65
James Milner,Europe,BHA,DFMF,37,15,11,773,3,0,11,69,73,0.23
Adam Lallana,Europe,BHA,MFFW,35,25,13,850,2,0,9,39,55,0.11
Jack Hinshelwood,Europe,BHA,DF,18,12,8,869,1,0,16,19,38,0.31
Adam Webster,Europe,BHA,DF,28,15,13,1144,2,0,16,80,2,0
Danny Welbeck,Europe,BHA,FWMF,32,29,21,1693,4,0,32,44,100,0.32
Lewis Dunk,Europe,BHA,DF,31,33,33,2869,7,1,33,152,13,0.13
Ansu Fati,Europe,BHA,MFFW,20,19,3,521,2,0,16,28,50,0.35
Mahmoud Dahoud,Europe,BHA,MF,27,9,6,452,1,1,4,11,6,0.2
Pascal Groß,Europe,BHA,MFDF,32,36,34,3114,6,0,83,302,180,0.38
Tariq Lamptey,Africa,BHA,DFFW,22,19,10,914,3,0,39,17,64,0.3
Evan Ferguson,Europe,BHA,FW,18,27,15,1367,1,0,13,15,62,0.4
Kaoru Mitoma,Asia,BHA,FW,26,19,15,1486,4,0,121,64,239,0.42
Joël Veltman,Europe,BHA,DF,31,27,17,1588,4,0,24,85,54,0.11
Jan Paul van Hecke,Europe,BHA,DF,23,28,26,2369,4,0,25,147,7,0
Julio Enciso,South America,BHA,MFFW,19,12,5,475,2,0,28,21,29,0.38
Jakub Moder,Europe,BHA,MFDF,24,17,6,618,2,0,10,23,26,0
Billy Gilmour,Europe,BHA,MF,22,30,24,2120,8,1,39,193,33,0.04
Benson Manuel,Africa,BUR,MFFW,26,8,1,116,0,0,5,2,14,0
Mike Trésor,Europe,BUR,FWMF,24,16,3,420,0,0,15,10,31,0
Hannes Delcroix,Europe,BUR,DF,24,12,5,589,2,0,2,18,6,0
Ameen Al-Dakhil,Europe,BUR,DF,21,13,12,1056,1,0,7,35,9,0.09
Vitinho,South America,BUR,DFMF,24,32,26,2314,1,0,59,66,110,0.08
David Datro Fofana,Africa,BUR,FW,20,15,10,879,1,0,21,15,39,0.51
Jacob Bruun Larsen,Europe,BUR,MFFW,24,32,16,1249,1,0,61,38,146,0.36
Nathan Redmond,Europe,BUR,FWMF,29,12,0,142,1,0,7,8,22,0
Aaron Ramsey,Europe,BUR,MFFW,20,14,5,527,1,0,8,8,17,0
Jay Rodriguez,Europe,BUR,FW,34,21,7,822,0,0,2,17,28,0.22
Josh Brownhill,Europe,BUR,MF,27,33,23,2252,4,1,19,90,36,0.24
Charlie Taylor,Europe,BUR,DF,29,28,25,2331,8,0,36,82,81,0.08
Maxime Estève,Europe,BUR,DF,21,16,15,1309,6,0,15,40,3,0
Wilson Odobert,Europe,BUR,MFFW,18,29,25,2098,3,0,102,58,123,0.21
Jordan Beyer,Europe,BUR,DF,23,15,15,1234,6,0,9,25,1,0.07
Josh Cullen,Europe,BUR,MF,27,25,23,2057,9,0,22,123,22,0.22
Dara O'Shea,Europe,BUR,DF,24,33,32,2892,5,1,32,122,10,0.22
Jóhann Berg Gu_mundsson,Europe,BUR,MFFW,32,26,12,1192,2,0,13,59,69,0.3
Luca Koleosho,Europe,BUR,MFFW,18,15,13,974,0,0,53,19,82,0.18
Anass Zaroury,Africa,BUR,FWMF,22,6,1,152,0,1,2,2,12,0
Sander Berge,Europe,BUR,MF,25,37,34,3005,10,1,64,164,29,0.09
Lyle Foster,Africa,BUR,FWMF,22,24,22,1899,0,1,55,37,104,0.38
Zeki Amdouni,Europe,BUR,FW,22,34,27,1953,2,0,63,49,93,0.23
Hjalmar Ekdal,Europe,BUR,DF,24,8,5,437,2,0,5,11,1,0
Lorenz Assignon,Africa,BUR,DF,23,15,15,1234,5,1,38,34,57,0.22
Connor Roberts,Europe,BUR,DF,27,14,8,823,5,1,6,38,13,0.11
Armando Broja,Europe,CHE,FW,21,13,6,454,0,0,11,6,37,0.2
Enzo Fernández,South America,CHE,MF,22,28,26,2209,7,0,52,210,54,0.16
Thiago Silva,South America,CHE,DF,38,31,28,2527,4,0,2,102,5,0.14
Moisés Caicedo,South America,CHE,MF,21,35,33,2866,11,0,27,173,27,0.13
Alfie Gilchrist,Europe,CHE,DF,19,11,2,207,1,0,1,7,4,0.43
Carney Chukwuemeka,Europe,CHE,MFFW,19,9,2,227,2,0,4,12,19,0.79
Reece James,Europe,CHE,DF,23,10,5,419,2,2,19,21,35,0.43
Ben Chilwell,Europe,CHE,DF,26,13,9,756,5,0,22,25,59,0.12
Trevoh Chalobah,Europe,CHE,DF,24,13,10,952,1,0,5,31,9,0.09
Noni Madueke,Europe,CHE,FW,21,23,13,1053,2,0,76,52,136,0.51
Levi Colwill,Europe,CHE,DF,20,23,20,1797,2,0,23,73,27,0.1
Raheem Sterling,Europe,CHE,FWMF,28,31,22,1978,7,0,120,78,242,0.55
Cole Palmer,Europe,CHE,FWMF,21,33,29,2607,7,0,117,197,195,0.83
